name,date,price,high,low,volume,open
GULF,2025-02-14,57.75,58.25,57.0,17932908,58.0
GUNKUL,2025-02-14,1.83,1.83,1.8,12437568,1.82
GVREIT,2025-02-14,6.7,6.7,6.65,112660,6.65
HANA,2025-02-14,22.1,22.7,21.7,8704336,22.4
HFT,2025-02-14,4.14,4.16,4.1,141111,4.16
HMPRO,2025-02-14,8.35,8.45,7.95,41546685,8.0
HTC,2025-02-14,16.2,16.3,16.1,110057,16.1
ICHI,2025-02-14,12.6,12.8,12.4,6501715,12.8
III,2025-02-14,4.82,4.84,4.76,360883,4.76
ILM,2025-02-14,14.1,14.2,14.0,58299,14.1
IMPACT,2025-02-14,10.3,10.3,10.2,47047,10.3
INOX,2025-02-14,0.44,0.46,0.42,2505771,0.42
INTUCH,2025-02-14,99.0,99.75,98.25,9408496,99.75
IRPC,2025-02-14,1.02,1.02,1.0,21140281,1.01
IVL,2025-02-14,23.0,23.3,22.6,12890332,22.7
3BBIF,2025-02-14,5.35,5.4,5.35,10637178,5.4
JMART,2025-02-14,9.95,10.1,9.85,8360720,10.0
JMT,2025-02-14,13.4,13.5,13.1,8082860,13.3
KBANK,2025-02-14,153.5,155.5,153.0,14835410,155.5
KCE,2025-02-14,20.8,21.5,20.8,8319654,21.4
KEX,2025-02-14,1.25,1.3,1.25,356035,1.28
KGI,2025-02-14,4.18,4.22,4.18,285461,4.22
KKP,2025-02-14,51.25,52.0,51.0,2356786,51.0
KSL,2025-02-14,1.71,1.72,1.69,287717,1.69
KTB,2025-02-14,22.8,23.3,22.6,68644435,23.3
