name,date,price,change,%change,open,high,low,volume,value(m)
SUPEREIF,2025-08-04,5.25,0.0,0.0,5.25,5.25,5.15,104604,547.6236
SYNEX,2025-08-04,11.6,0.0,0.0,11.6,11.7,11.3,790009,9081.5155
TASCO,2025-08-04,14.6,0.2,1.388889,14.5,14.7,14.3,2716247,39408.2818
TCAP,2025-08-04,48.25,0.0,0.0,48.5,48.75,48.0,2122482,102554.02875
TFFIF,2025-08-04,6.05,0.05,0.833333,6.0,6.05,5.95,2692401,16140.09085
TFG,2025-08-04,5.05,-0.1,-1.941748,5.2,5.2,5.0,10678975,54273.4635
THANI,2025-08-04,1.64,-0.01,-0.606061,1.65,1.68,1.62,3003820,4963.9726
THG,2025-08-04,8.6,-0.15,-1.714286,8.75,8.75,8.55,507921,4404.456700000001
TIPH,2025-08-04,18.9,0.0,0.0,19.1,19.1,18.6,258396,4851.584
TIPCO,2025-08-04,8.7,0.0,0.0,8.6,8.75,8.6,56048,484.46975
TISCO,2025-08-04,99.0,0.25,0.253165,99.0,99.0,98.5,2328242,230038.5415
TKN,2025-08-04,5.75,-0.05,-0.862069,5.8,5.8,5.7,3081753,17733.54495
TKS,2025-08-04,5.65,-0.05,-0.877193,5.65,5.75,5.6,60510,339.32
TOA,2025-08-04,13.7,0.2,1.481481,13.5,13.9,13.1,2645171,35903.065200000005
TOP,2025-08-04,33.0,-0.75,-2.222222,33.5,33.75,32.5,17118215,564452.9335
TPIPL,2025-08-04,0.9,-0.01,-1.098901,0.91,0.91,0.89,3050185,2749.97571
TPIPP,2025-08-04,2.24,0.0,0.0,2.24,2.26,2.2,4208950,9389.34528
TQM,2025-08-04,14.5,-0.3,-2.027027,14.8,14.8,14.5,223466,3278.0357999999997
TRUE,2025-08-04,10.8,0.5,4.854369,10.4,10.8,10.3,119529804,1266964.1237
TSE,2025-08-04,0.47,0.01,2.173913,0.46,0.51,0.46,7530656,3650.54239
TTA,2025-08-04,4.28,-0.06,-1.382488,4.34,4.36,4.28,3359054,14458.30688
TTB,2025-08-04,1.91,0.0,0.0,1.91,1.92,1.9,124238465,236956.88925
TTLPF,2025-08-04,11.0,0.0,0.0,11.0,11.0,10.9,65966,722.206
TTW,2025-08-04,9.05,0.05,0.555556,9.0,9.05,8.95,2165074,19501.3795
TU,2025-08-04,11.5,-0.3,-2.542373,11.8,12.0,10.9,62646311,718006.8322000001
TVO,2025-08-04,22.6,-0.1,-0.440529,22.8,22.8,22.5,678090,15374.1287
VGI,2025-08-04,2.08,0.0,0.0,2.1,2.1,2.04,67121061,139363.98262
WHA,2025-08-04,3.48,-0.06,-1.694915,3.58,3.58,3.44,165920450,579316.17494
WHAIR,2025-08-04,5.45,-0.05,-0.909091,5.5,5.5,5.4,232043,1266.87395
WHART,2025-08-04,9.2,-0.1,-1.075269,9.3,9.3,9.2,514710,4761.5707
WHAUP,2025-08-04,3.34,-0.06,-1.764706,3.4,3.4,3.3,1485849,4980.29346
WICE,2025-08-04,3.08,-0.08,-2.531646,3.2,3.2,3.08,731906,2272.1447000000003
