number,video_id,title_modify,fm,to,min,dd_mmm,title_origin
24,L8xqajFn_4A,สามก๊ก ฉบับนักบริหาร,47,48,28,18-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 47-48 
25,0_0XKR0L9Hw,สามก๊ก ฉบับนักบริหาร,49,50,31,19-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 49-50 
26,oYbMRcWUURY,สามก๊ก ฉบับนักบริหาร,51,52,30,20-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 51-52 
27,7wNtEuCxaJE,สามก๊ก ฉบับนักบริหาร,53,54,30,21-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 53-54"
28,Zl98E6WVdT4,สามก๊ก ฉบับนักบริหาร,55,56,27,22-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 55-56"
29,UnfXo6nQfZg,สามก๊ก ฉบับนักบริหาร,57,58,28,23-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 57-58"
30,0Xv_cDtam6w,สามก๊ก ฉบับนักบริหาร,59,60,30,24-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 59-60"
31,J16C2eXORLQ,สามก๊ก ฉบับนักบริหาร,61,62,31,25-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 61-62"
32,XpTzfuMxSRw,สามก๊ก ฉบับนักบริหาร,63,64,27,26-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 63-64"
33,XSNobNnb9Hk,สามก๊ก ฉบับนักบริหาร,65,66,27,27-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 65-66"
34,qCgTQxYtUdg,สามก๊ก ฉบับนักบริหาร,67,68,30,28-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 67-68"
35,2puYMEryX8Q,สามก๊ก ฉบับนักบริหาร,69,70,28,29-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 69-70"
36,mGAloAbEqtc,สามก๊ก ฉบับนักบริหาร,71,72,26,30-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 71-72"
37,qfxOhTD00wY,สามก๊ก ฉบับนักบริหาร,73,74,30,31-Aug,"อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 73-74"
38,i3PgrVKpOeU,สามก๊ก ฉบับนักบริหาร,75,76,29,01-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 75-76"
39,gylTdYCqoHI,สามก๊ก ฉบับนักบริหาร,77,78,30,02-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 77-78"
40,dAnG-cO8IGU,สามก๊ก ฉบับนักบริหาร,79,80,30,03-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 79-80"
41,KWOtye5_VLo,สามก๊ก ฉบับนักบริหาร,81,82,30,04-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 81-82"
42,5VbHA7K7ndA,สามก๊ก ฉบับนักบริหาร,83,84,29,05-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 83-84"
43,BbAJssdUtcw,สามก๊ก ฉบับนักบริหาร,85,86,30,06-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 85-86"
44,4tKKVQe22L0,สามก๊ก ฉบับนักบริหาร,87,88,30,07-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 87-88"
45,qeLSkw-J4bI,สามก๊ก ฉบับนักบริหาร,89,89,25,08-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 89-89"
46,3lwUSwm-zfQ,สามก๊ก ฉบับนักบริหาร,90,91,30,09-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 90-91 "
47,q2il5jAIoKc,สามก๊ก ฉบับนักบริหาร,92,93,28,10-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 92 - 93 "
48,2ZQw4IVTdZQ,สามก๊ก ฉบับนักบริหาร,94,95,28,11-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 94 - 95 "
49,5grQmBixgAI,สามก๊ก ฉบับนักบริหาร,96,97,30,12-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 96 - 97 "
50,lvPbrAEfvaU,สามก๊ก ฉบับนักบริหาร,98,99,28,13-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 98-99"
51,saMEAErx8cg,สามก๊ก ฉบับนักบริหาร,100,101,31,14-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 100-101"
52,THEl87er9QE,สามก๊ก ฉบับนักบริหาร,102,103,30,15-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 102-103"
53,F8Qb5ZMA7UM,สามก๊ก ฉบับนักบริหาร,104,105,30,16-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 104-105"
54,zdnbKFuK4QE,สามก๊ก ฉบับนักบริหาร,106,107,28,17-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 106-107"
55,7vDllPl1Pm8,สามก๊ก ฉบับนักบริหาร,108,109,28,18-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 108-109"
56,C1HcBnwiAh0,สามก๊ก ฉบับนักบริหาร,110,111,26,19-Sep,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 110-111 
57,uyp7ejHTuvk,สามก๊ก ฉบับนักบริหาร,112,113,27,20-Sep,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 112-113 
58,xQ2q_8t5wmg,สามก๊ก ฉบับนักบริหาร,114,115,26,21-Sep,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 114-115 
59,-AhZNGPr7x8,สามก๊ก ฉบับนักบริหาร,116,117,28,22-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 116-117"
60,LRaj76I6jlI,สามก๊ก ฉบับนักบริหาร,118,119,31,23-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 118-119"
61,yv8x5BdHrOk,สามก๊ก ฉบับนักบริหาร,120,121,31,24-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 120-121"
62,q2PLRl8LL1U,สามก๊ก ฉบับนักบริหาร,122,123,28,25-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 122-123"
63,t5VYQGwGJ0k,สามก๊ก ฉบับนักบริหาร,124,125,29,26-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 124-125"
64,_2_ShpSiUu0,สามก๊ก ฉบับนักบริหาร,126,127,26,27-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 126-127"
65,zK16VDUya9Q,สามก๊ก ฉบับนักบริหาร,128,129,27,28-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 128-129"
66,m6nzUSxXMBs,สามก๊ก ฉบับนักบริหาร,130,131,27,29-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 130-131"
67,ZWHDaWQCe_s,สามก๊ก ฉบับนักบริหาร,132,133,26,30-Sep,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 132-133"
68,udhGXvpDjes,สามก๊ก ฉบับนักบริหาร,134,135,27,01-Oct,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 134-135"
69,vs1n9j3kWwY,สามก๊ก ฉบับนักบริหาร,136,137,26,02-Oct,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 136-137"
70,F5Vm2gFFCJI,สามก๊ก ฉบับนักบริหาร,138,138,27,03-Oct,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 138-138"
