song_title,artist,filename,id,youtube_code,peak,rms,new_p,new_r
Smells Like Teen Spirit,Nirvana,Smells Like Teen Spirit_Nirvana .mp4,11,hTWKbfoikeg,,,,
Smooth Operator,Sade,Smooth Operator_Sade .mp4,278,4TYv2PhG89A,,,,
Somebody That I Used To Know,Gotye,Somebody That I Used To Know_Gotye .mp4,298,8UVNT4wvIGY,,,,
Someone Like You,Adele,Someone Like You_Adele .mp4,523,hLQl3WQQoQ0,,,,
Someone You Loved,Lewis Capaldi,Someone You Loved_Lewis Capaldi.mp4,486,FGGo8LFmbjs,0.52,-11.85,-1.63,-14.00
Stairway to Heaven,Led Zeppelin,Stairway to Heaven_Led Zeppelin .mp4,41,9pVH4XDHzx8,,,,
Stan,Eminem feat. Dido,Stan_Eminem feat. Dido .mp4,395,gOMhN-hfMtY,,,,
Streets of London,Ralph McTell,Streets of London_Ralph McTell.mp4,558,SpLMpu2-MXo,,,,
Sunflower,Post Malone,Sunflower_Post Malone.mp4,518,ApXoWvfEYVU,,,,
Take It Easy,Eagles The,Take It Easy_Eagles The.mp4,544,AaBw37-nWaY,,,,
Tears in Heaven,Eric Clapton,Tears in Heaven_Eric Clapton.mp4,191,HF-e4VWxeqE,,,,
Tequila Sunrise,Eagles The,Tequila Sunrise_Eagles The.mp4,512,1AfcJ8g1LBE,,,,
Thank You,Dido,Thank You_Dido .mp4,507,1TO48Cnl66w,,,,
The Fate of Ophelia,Taylor Swift,The Fate of Ophelia_Taylor Swift.mp4,505,lZEf_izPCfY,,,,
The Older I Get,Alan Jackson,The Older I Get_Alan Jackson.mp4,484,VfJcC5bzNAQ,,,,
The Sound of Silence,Simon and Garfunkel,The Sound of Silence_Simon and Garfunkel .mp4,179,NAEppFUWLfc,,,,
The Times They Are A-Changing,Bob Dylan,The Times They Are A-Changing_Bob Dylan.mp4,59,90WD_ats6eE,,,,
Thinking Out Loud,Ed Sheeran,Thinking Out Loud_Ed Sheeran.mp4,494,H9kcLTStfpQ,,,,
Time of Our LIves,Zhao Lei,Time of Our LIves_Zhao Lei.mp4,520,LH_0lvSWh-k,,,,
Total Eclipse of the Heart (Turn Around),Bonnie Tyler,Total Eclipse of the Heart (Turn Around)_Bonnie Tyler.mp4,538,lcOxhH8N3Bo,,,,
Un-Break My Heart,Toni Braxton,Un-Break My Heart_Toni Braxton.mp4,535,p2Rch6WvPJE,,,,
What A Wonderful World,Louis Armstrong,What A Wonderful World_Louis Armstrong.mp4,553,rBrd_3VMC3c,,,,
What's Going On,Marvin Gaye,What's Going On_Marvin Gaye.mp4,6,H-kA3UtBj4M,,,,
What's Up,4 Non Blondes,What's Up_4 Non Blondes .mp4,497,6NXnxTNIWkc,,,,
White Flag,Dido,White Flag_Dido .mp4,499,j-fWDrZSiZs,,,,
Whiter Shade of Pale,Procol Harum,Whiter Shade of Pale_Procol Harum .mp4,57,_BADDeIQWVQ,,,,
Wild Horses,Rolling Stones The,Wild Horses_Rolling Stones The.mp4,186,nY_GgPi5eCM,,,,
Wish You Were Here,Pink Floyd,Wish You Were Here_Pink Floyd .mp4,170,6qQjvWXrNkg,,,,
With A Little Help From My Friends,Joe Cocker,With A Little Help From My Friends_Joe Cocker.mp4,552,rr0X1wJ7lx8,,,,
Wonderful Tonight,Eric Clapton,Wonderful Tonight_Eric Clapton.mp4,260,vUSzL2leaFM,,,,
Yellow,Coldplay,Yellow_Coldplay .mp4,557,yKNxeF4KMsY,,,,
Yesterday,Beatles The,Yesterday_Beatles The.mp4,16,fCV9oqtwyVA,,,,
You’re Still The One,Shania Twain,You’re Still The One_Shania Twain.mp4,533,KNZH-emehxA,,,,
Your Man,Josh Turner,Your Man_Josh Turner.mp4,495,nADTbWQof7Y,,,,
You're Beautiful,James Blunt,You're Beautiful_James Blunt.mp4,506,oofSnsGkops,,,,
You've got a friend,Carole King,You've got a friend_Carole King.mp4,244,Hnu53l7brEE,,,,
Zombie,Cranberries The,Zombie_Cranberries The.mp4,525,6Ejga4kJUts,,,,
